,type_of_waste,country_name,percentage
0,Organic,Angola,51.8
1,Organic,Albania,51.4
2,Organic,Andorra,31.2
3,Organic,United Arab Emirates,39.0
4,Organic,Argentina,38.74
5,Organic,Armenia,57.0
6,Organic,American Samoa,19.7
7,Organic,Antigua and Barbuda,46.0
8,Organic,Australia,48.44
9,Organic,Austria,31.4
10,Organic,Azerbaijan,45.19
11,Organic,Burundi,81.0
12,Organic,Belgium,14.18
13,Organic,Benin,52.1
14,Organic,Burkina Faso,21.0
15,Organic,Bangladesh,80.57999999999998
16,Organic,Bulgaria,24.35
17,Organic,Bahrain,59.1
18,Organic,Bahamas,46.0
19,Organic,Belarus,30.0
20,Organic,Belize,47.0
21,Organic,Bermuda,17.0
22,Organic,Bolivia,55.19691119691119
23,Organic,Brazil,51.4
24,Organic,Barbados,18.3
25,Organic,Brunei Darussalam,36.0
26,Organic,Bhutan,58.0
27,Organic,Canada,24.0
28,Organic,Switzerland,29.0
29,Organic,Chile,53.3
30,Organic,China,61.2
31,Organic,Cameroon,83.4
32,Organic,Colombia,59.58
33,Organic,Comoros,50.0
34,Organic,Costa Rica,58.0
35,Organic,Cuba,68.9
36,Organic,Cayman Islands,10.9
37,Organic,Cyprus,41.47
38,Organic,Czech Republic,62.3
39,Organic,Germany,30.0
40,Organic,Dominica,45.0
41,Organic,Denmark,12.78
42,Organic,Dominican Republic,51.0
43,Organic,Algeria,54.4
44,Organic,Ecuador,58.67
45,Organic,Egypt,56.0
46,Organic,Spain,49.0
47,Organic,Estonia,36.7
48,Organic,Ethiopia,87.6
49,Organic,Finland,35.88
50,Organic,Fiji,33.2
51,Organic,France,32.0
52,Organic,Micronesia,23.83
53,Organic,United Kingdom,16.7
54,Organic,Georgia,39.0
55,Organic,Ghana,67.0
56,Organic,Gibraltar,24.57
57,Organic,Guinea,58.0
58,Organic,Greece,40.0
59,Organic,Grenada,27.1
60,Organic,Greenland,42.8
61,Organic,Guam,27.3
62,Organic,Guyana,50.1
63,Organic,Hong Kong,35.0
64,Organic,Honduras,57.9
65,Organic,Croatia,30.9
66,Organic,Haiti,61.3
67,Organic,Hungary,22.5
68,Organic,Indonesia,53.8
69,Organic,Ireland,16.6
70,Organic,Iran,72.9
71,Organic,Iraq,68.7
72,Organic,Israel,34.0
73,Organic,Italy,34.4
74,Organic,Jamaica,62.22
75,Organic,Jordan,50.0
76,Organic,Japan,36.0
77,Organic,Kazakhstan,30.0
78,Organic,Kenya,57.0
79,Organic,Cambodia,66.6
80,Organic,Kiribati,43.6
81,Organic,St. Kitts and Nevis,27.2
82,Organic,Kuwait,45.0
83,Organic,Lao People's Democratic Republic,16.9
84,Organic,Lebanon,52.5
85,Organic,Libya,70.1
86,Organic,St. Lucia,45.0
87,Organic,Liechtenstein,37.6
88,Organic,Sri Lanka,62.0
89,Organic,Lithuania,40.4
90,Organic,Luxembourg,30.0
91,Organic,Latvia,46.7
92,Organic,Macao,3.1
93,Organic,Morocco,60.0
94,Organic,Moldova,55.0
95,Organic,Mexico,52.4
96,Organic,Marshall Islands,8.0
97,Organic,North Macedonia,29.3
98,Organic,Mali,17.5
99,Organic,Malta,52.0
100,Organic,Montenegro,33.82
101,Organic,Northern Mariana Islands,43.6
102,Organic,Mauritania,4.8
103,Organic,Malaysia,46.0
104,Organic,New Caledonia,43.6
105,Organic,Netherlands,35.0
106,Organic,Norway,15.49
107,Organic,Nepal,52.39
108,Organic,Nauru,43.6
109,Organic,New Zealand,28.0
110,Organic,Pakistan,30.0
111,Organic,Panama,46.4
112,Organic,Peru,50.43
113,Organic,Philippines,52.31
114,Organic,Palau,26.0
115,Organic,Poland,37.27
116,Organic,Puerto Rico,13.1
117,Organic,Portugal,36.49
118,Organic,"Palestine, State of",59.1
119,Organic,French Polynesia,47.0
120,Organic,Qatar,57.0
121,Organic,Romania,56.26
122,Organic,Russian Federation,28.41
123,Organic,Saudi Arabia,45.5
124,Organic,Sudan,51.4
125,Organic,Senegal,12.0
126,Organic,Singapore,10.51
127,Organic,Solomon Islands,42.8
128,Organic,El Salvador,65.0
129,Organic,San Marino,5.35
130,Organic,Serbia,37.62
131,Organic,Slovak Republic,42.0
132,Organic,Seychelles,48.5
133,Organic,Syrian Arab Republic,57.0
134,Organic,Turks and Caicos Islands,21.8
135,Organic,Chad,70.0
136,Organic,Togo,38.0
137,Organic,Thailand,65.52
138,Organic,Tonga,51.3
139,Organic,Trinidad and Tobago,27.15
140,Organic,Tunisia,68.0
141,Organic,Turkey,64.0
142,Organic,Tuvalu,43.6
143,Organic,Uganda,74.5
144,Organic,Ukraine,37.0
145,Organic,Uruguay,53.5
146,Organic,United States,14.9
147,Organic,Uzbekistan,40.0
148,Organic,Saint Vincent and the Grenadines,49.6
149,Organic,British Virgin Islands,6.5
150,Organic,Vietnam,61.9
151,Organic,Vanuatu,73.4
152,Organic,Samoa,42.6
153,Organic,Yemen,65.0
154,Organic,South Africa,16.381654627302726
155,Organic,Zimbabwe,36.0
156,Glass,Angola,6.7
157,Glass,Albania,4.5
158,Glass,Andorra,8.2
159,Glass,United Arab Emirates,4.0
160,Glass,Argentina,3.16
161,Glass,Armenia,3.2
162,Glass,American Samoa,3.4
163,Glass,Antigua and Barbuda,7.0
164,Glass,Australia,3.81
165,Glass,Austria,7.0
166,Glass,Azerbaijan,5.28
167,Glass,Burundi,2.9
168,Glass,Belgium,3.1
169,Glass,Benin,1.6
170,Glass,Burkina Faso,1.0
171,Glass,Bangladesh,0.44
172,Glass,Bulgaria,5.83
173,Glass,Bahrain,3.4
174,Glass,Bahamas,7.0
175,Glass,Belarus,8.0
176,Glass,Belize,8.0
177,Glass,Bermuda,9.0
178,Glass,Bolivia,2.9034749034749034
179,Glass,Brazil,2.4
180,Glass,Barbados,3.7
181,Glass,Brunei Darussalam,3.0
182,Glass,Bhutan,4.0
183,Glass,Canada,6.0
184,Glass,Switzerland,4.0
185,Glass,Chile,6.6
186,Glass,China,2.1
187,Glass,Cameroon,0.1
188,Glass,Colombia,2.35
189,Glass,Comoros,2.0
190,Glass,Costa Rica,1.0
191,Glass,Cuba,4.6
192,Glass,Cayman Islands,3.5
193,Glass,Cyprus,2.66
194,Glass,Czech Republic,2.4
195,Glass,Germany,10.0
196,Glass,Dominica,8.0
197,Glass,Denmark,5.78
198,Glass,Dominican Republic,6.0
199,Glass,Algeria,1.2
200,Glass,Ecuador,3.01
201,Glass,Egypt,4.0
202,Glass,Spain,8.0
203,Glass,Estonia,8.3
204,Glass,Ethiopia,0.8
205,Glass,Finland,9.24
206,Glass,Fiji,4.1
207,Glass,France,10.0
208,Glass,Micronesia,7.07
209,Glass,United Kingdom,2.2
210,Glass,Georgia,3.0
211,Glass,Ghana,0.0
212,Glass,Gibraltar,4.42
213,Glass,Guinea,1.0
214,Glass,Greece,3.0
215,Glass,Grenada,3.1
216,Glass,Greenland,7.1
217,Glass,Guam,4.6
218,Glass,Guyana,4.7
219,Glass,Hong Kong,3.0
220,Glass,Honduras,1.27
221,Glass,Croatia,3.7
222,Glass,Haiti,1.6
223,Glass,Hungary,3.5
224,Glass,Indonesia,2.5
225,Glass,Ireland,8.5
226,Glass,Iran,1.9
227,Glass,Iraq,2.3
228,Glass,Israel,3.0
229,Glass,Italy,7.6
230,Glass,Jamaica,2.81
231,Glass,Jordan,2.0
232,Glass,Japan,5.0
233,Glass,Kazakhstan,5.0
234,Glass,Kenya,3.0
235,Glass,Cambodia,2.6
236,Glass,Kiribati,5.5
237,Glass,St. Kitts and Nevis,8.1
238,Glass,Kuwait,4.0
239,Glass,Lao People's Democratic Republic,9.3
240,Glass,Lebanon,3.5
241,Glass,Libya,3.1
242,Glass,St. Lucia,7.0
243,Glass,Liechtenstein,5.0
244,Glass,Sri Lanka,2.0
245,Glass,Lithuania,8.65
246,Glass,Luxembourg,4.0
247,Glass,Latvia,21.4
248,Glass,Macao,3.3
249,Glass,Morocco,2.0
250,Glass,Moldova,4.0
251,Glass,Mexico,5.9
252,Glass,Marshall Islands,2.0
253,Glass,North Macedonia,4.1
254,Glass,Mali,1.0
255,Glass,Malta,6.0
256,Glass,Montenegro,8.97
257,Glass,Northern Mariana Islands,5.5
258,Glass,Mauritania,4.0
259,Glass,Malaysia,3.0
260,Glass,New Caledonia,5.5
261,Glass,Netherlands,5.4
262,Glass,Norway,4.6
263,Glass,Nepal,4.36
264,Glass,Nauru,5.5
265,Glass,New Zealand,4.0
266,Glass,Pakistan,6.0
267,Glass,Panama,5.8
268,Glass,Peru,3.05
269,Glass,Philippines,2.34
270,Glass,Palau,5.0
271,Glass,Poland,10.07
272,Glass,Puerto Rico,2.4
273,Glass,Portugal,6.73
274,Glass,"Palestine, State of",2.4
275,Glass,French Polynesia,3.0
276,Glass,Qatar,4.0
277,Glass,Romania,4.89
278,Glass,Russian Federation,16.82
279,Glass,Saudi Arabia,4.0
280,Glass,Sudan,3.5
281,Glass,Senegal,2.0
282,Glass,Singapore,0.93
283,Glass,Solomon Islands,6.65
284,Glass,El Salvador,4.0
285,Glass,San Marino,5.61
286,Glass,Serbia,5.44
287,Glass,Slovak Republic,19.0
288,Glass,Seychelles,5.2
289,Glass,Syrian Arab Republic,3.0
290,Glass,Turks and Caicos Islands,20.5
291,Glass,Chad,1.0
292,Glass,Togo,2.0
293,Glass,Thailand,3.04
294,Glass,Tonga,5.9
295,Glass,Trinidad and Tobago,10.15
296,Glass,Tunisia,2.0
297,Glass,Turkey,2.0
298,Glass,Tuvalu,5.5
299,Glass,Uganda,0.8
300,Glass,Ukraine,5.0
301,Glass,Uruguay,3.0
302,Glass,United States,4.4
303,Glass,Uzbekistan,3.0
304,Glass,Saint Vincent and the Grenadines,5.6
305,Glass,British Virgin Islands,18.1
306,Glass,Vietnam,2.18
307,Glass,Vanuatu,5.4
308,Glass,Samoa,2.2
309,Glass,Yemen,1.0
310,Glass,South Africa,5.200216370472019
311,Glass,Zimbabwe,5.0
312,Metal,Angola,4.4
313,Metal,Albania,4.8
314,Metal,Andorra,2.6
315,Metal,United Arab Emirates,3.0
316,Metal,Argentina,1.84
317,Metal,Armenia,3.4
318,Metal,American Samoa,7.9
319,Metal,Antigua and Barbuda,7.0
320,Metal,Australia,19.38
321,Metal,Austria,4.4
322,Metal,Azerbaijan,3.49
323,Metal,Burundi,2.1
324,Metal,Belgium,1.91
325,Metal,Benin,1.6
326,Metal,Burkina Faso,1.0
327,Metal,Bangladesh,0.5
328,Metal,Bulgaria,1.98
329,Metal,Bahrain,2.1
330,Metal,Bahamas,7.0
331,Metal,Belarus,2.0
332,Metal,Belize,5.0
333,Metal,Bermuda,6.0
334,Metal,Bolivia,2.501930501930502
335,Metal,Brazil,2.9
336,Metal,Barbados,4.9
337,Metal,Brunei Darussalam,4.0
338,Metal,Bhutan,1.0
339,Metal,Canada,13.0
340,Metal,Switzerland,3.0
341,Metal,Chile,2.3
342,Metal,China,1.1
343,Metal,Cameroon,0.7
344,Metal,Colombia,1.1
345,Metal,Comoros,4.0
346,Metal,Costa Rica,2.0
347,Metal,Cuba,1.6
348,Metal,Cayman Islands,6.2
349,Metal,Cyprus,3.25
350,Metal,Czech Republic,8.4
351,Metal,Germany,1.4
352,Metal,Dominica,5.0
353,Metal,Denmark,6.29
354,Metal,Dominican Republic,3.0
355,Metal,Algeria,2.8
356,Metal,Ecuador,1.53
357,Metal,Egypt,2.0
358,Metal,Spain,3.0
359,Metal,Estonia,2.6
360,Metal,Ethiopia,1.2
361,Metal,Finland,1.7
362,Metal,Fiji,1.9
363,Metal,France,3.0
364,Metal,Micronesia,16.73
365,Metal,United Kingdom,3.5
366,Metal,Georgia,5.0
367,Metal,Ghana,1.0
368,Metal,Gibraltar,4.37
369,Metal,Guinea,1.0
370,Metal,Greece,3.0
371,Metal,Grenada,2.4
372,Metal,Greenland,2.0
373,Metal,Guam,9.0
374,Metal,Guyana,4.2
375,Metal,Hong Kong,2.0
376,Metal,Honduras,2.11
377,Metal,Croatia,2.1
378,Metal,Haiti,2.5
379,Metal,Hungary,1.8
380,Metal,Indonesia,1.8
381,Metal,Ireland,3.7
382,Metal,Iran,2.3
383,Metal,Iraq,0.98
384,Metal,Israel,3.0
385,Metal,Italy,4.3
386,Metal,Jamaica,2.38
387,Metal,Jordan,1.5
388,Metal,Japan,4.0
389,Metal,Kazakhstan,3.0
390,Metal,Kenya,1.0
391,Metal,Cambodia,2.0
392,Metal,Kiribati,10.0
393,Metal,St. Kitts and Nevis,8.8
394,Metal,Kuwait,2.0
395,Metal,Lao People's Democratic Republic,3.7
396,Metal,Lebanon,5.5
397,Metal,Libya,4.3
398,Metal,St. Lucia,5.0
399,Metal,Liechtenstein,12.5
400,Metal,Sri Lanka,3.0
401,Metal,Lithuania,2.75
402,Metal,Luxembourg,2.0
403,Metal,Latvia,2.6
404,Metal,Macao,1.7
405,Metal,Morocco,2.5
406,Metal,Moldova,3.0
407,Metal,Mexico,3.4
408,Metal,Marshall Islands,6.0
409,Metal,North Macedonia,2.5
410,Metal,Mali,3.5
411,Metal,Malta,4.0
412,Metal,Montenegro,2.9
413,Metal,Northern Mariana Islands,10.0
414,Metal,Mauritania,4.2
415,Metal,Malaysia,3.0
416,Metal,New Caledonia,10.0
417,Metal,Netherlands,4.3
418,Metal,Norway,6.12
419,Metal,Nepal,1.9
420,Metal,Nauru,10.0
421,Metal,New Zealand,4.5
422,Metal,Pakistan,4.0
423,Metal,Panama,3.8
424,Metal,Peru,2.64
425,Metal,Philippines,4.22
426,Metal,Palau,10.0
427,Metal,Poland,2.17
428,Metal,Puerto Rico,10.4
429,Metal,Portugal,1.85
430,Metal,"Palestine, State of",2.7
431,Metal,French Polynesia,3.0
432,Metal,Qatar,9.0
433,Metal,Romania,2.5
434,Metal,Russian Federation,1.83
435,Metal,Saudi Arabia,5.0
436,Metal,Sudan,1.7
437,Metal,Senegal,2.0
438,Metal,Singapore,19.12
439,Metal,Solomon Islands,13.15
440,Metal,El Salvador,2.0
441,Metal,San Marino,0.9
442,Metal,Serbia,1.38
443,Metal,Slovak Republic,2.0
444,Metal,Seychelles,4.6
445,Metal,Syrian Arab Republic,4.0
446,Metal,Turks and Caicos Islands,7.6
447,Metal,Chad,2.0
448,Metal,Togo,4.0
449,Metal,Thailand,1.85
450,Metal,Tonga,9.0
451,Metal,Trinidad and Tobago,3.74
452,Metal,Tunisia,4.0
453,Metal,Turkey,1.0
454,Metal,Tuvalu,10.0
455,Metal,Uganda,0.6
456,Metal,Ukraine,4.0
457,Metal,Uruguay,5.0
458,Metal,United States,9.0
459,Metal,Uzbekistan,2.0
460,Metal,Saint Vincent and the Grenadines,3.8
461,Metal,British Virgin Islands,8.6
462,Metal,Vietnam,0.58
463,Metal,Vanuatu,3.8
464,Metal,Samoa,8.8
465,Metal,Yemen,6.0
466,Metal,South Africa,16.9104608968452
467,Metal,Zimbabwe,6.0
468,Other,Angola,11.7
469,Other,Albania,19.810000000000002
470,Other,Andorra,11.6
471,Other,United Arab Emirates,10.0
472,Other,Argentina,27.66
473,Other,Armenia,18.299999999999997
474,Other,American Samoa,29.8
